Saga,Episode Titles,Episode air date,HH,Rank,Viewership
"Fusion, Kid Buu and Peaceful World Sagas","""Seize the Future!! A Decisive Battle with the Universe at Stake"" / ""Battle for the Universe Begins""",March 19 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Vegeta Takes Off His Hat!! Goku, You Are No. 1"" / ""Vegeta's Respect""",March 20 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Pull Through, Vegeta!! One Life-Threatening Minute"" / ""Minute of Desperation""",March 21 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Don't You Pick on Satan!! The Original Boo is Revived"" / ""Old Buu Emerges""",March 24 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Vegeta's Secret Plan!! Polunga and the Two Wishes"" / ""Earth Reborn""",March 25 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""A Last Hope!! We'll Make a Huge Genki Dama"" / ""Call to Action""",March 26 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Ultra-Impressive!! The Genki Dama From Everyone is Finished"" / ""People of Earth Unite""",March 27 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Son Goku is Strongest After All!! Majin Boo is Eliminated"" / ""Spirit Bomb Triumphant""",March 28 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Peace Returns!! Majin Boo, Champion of Justice!?"" / ""Celebrations with Majin Buu""",March 31 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""You're Late, Goku! Everyone Party!!"" / ""He's Always Late""",April 2 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Grandpa Goku! I Am Pan!!"" / ""Granddaughter Pan""",April 3 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""I Am Oob! Now Ten Years Old, the Former Majin!?"" / ""Buu's Reincarnation""",April 4 2003,N/A,N/A,N/A
"Fusion, Kid Buu and Peaceful World Sagas","""Even Stronger!! Goku's Dream is Super-Huge"" / ""Goku's Next Journey""",April 7 2003,N/A,N/A,N/A
